secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
seasons:season,games,years,offseason,postseason,playoffs,coached,championships,appearances,titles
dividend:dividends,shareholders,earnings,stockholders,quarterly,stock,shares,shareholder
nominee:nomination,nominees,nominated,candidate,nominations,candidacy,candidates,contenders,winner
buildings:building,houses,apartments,towers,structures,homes,residential,floors,properties,tower
subsidies:incentives,taxes,incomes,grants,funding,aid,assistance,tax,income,stimulus
screening:testing,detection,examination,film,treatment,review,scan,diagnosis,inspection,premiere
fines:fined,penalties,fine,penalty,punishment,fees,violations,misdemeanor,damages,pay
apart:away,aside,separated,together,behind,up,within,off,closer
ways:way,things,methods,alternatives,possibilities,how,strategies,approaches,ideas,options
daughter:mother,son,daughters,sister,wife,grandmother,husband,father,grandson,sons
again:once,then,when,finally,back,before,if,until,it
cracked:crack,broken,broke,smashed,knocked,ripped,popped,shattered,knocking,shut
belonged:belongs,belong,belonging,seized,stole,bought,recovered,had,owned,grabbed
fined:fines,fine,suspended,sentenced,punished,jailed,guilty,convicted,probation
personnel:staff,officers,employees,staffing,departments,soldiers,guards,officials,workers
patrons:guests,spectators,fans,residents,locals,customers,visitors,attendees,students,lovers
curriculum:education,teaching,classroom,teachers,instruction,educational,classrooms,educators,math
lit:lighting,lights,burned,light,burning,decorated,bright,lined,painted,wrapped
combat:fighting,soldiers,troops,fight,war,military,curb
underground:tunnel,basement,mine,mines,miners,pipe,beneath,mining,rock,pipes
similarly:equally,somewhat,surprisingly,highly,fairly,particularly,seemingly,manner,reasonably,poorly
item:items,piece,element,goods,penny,object,merchandise,seller,something,pieces
environments:environment,settings,systems,solutions,situations,spaces,platforms,processes,applications,conditions
guard:guards,defensive,cornerback,linebacker,foot,rebounding,junior
ports:port,airports,ships,cargo,terminal,vessels,shipping,ship,shipments
loose:tight,throw,up,ball,underneath,inside,corners,grip,chase,away
stuck:sticking,stick,trapped,stranded,locked,dragged,stayed,hanging,hang,hung
branches:branch,offices,locations,bank,banks,banking,stores,outlets,trees
years:decades,months,decade,weeks,days,year,seasons,ago,month
vaccine:vaccines,flu,doses,medicines,virus,drugs
complex:complicated,sophisticated,complexity,building,costly,difficult,challenging,structure,facility
formula:method,recipe,concept,principle,theory,approach,logic,criteria,methods,philosophy
surrendered:surrender,yielded,seized,gave,recovered,chased,allowed,escaped,freed,arrested
studies:study,research,surveys,researchers,studied,findings
tobacco:cigarette,cigarettes,smoking,liquor,alcohol,marijuana,smoke,sugar,drug,obesity
grounds:premises,venue,reasons,ground,fields,arguing,facilities,lawn,hall,campus
doors:door,gates,windows,window,walls,gate,open,entrance,garage,roof
recorded:recording,posted,tallied,totaled,produced,accounted,logged,registered,collected,record
turnover:turnovers,margin,rebounding,downs,rebound,errors,punt,loss,error
toy:toys,candy,pet,jewelry,chocolate,electronics,gift,accessories
being:having,be,getting,have,was,should,becoming,were,has
current:future,existing,new,previous,currently,the,projected,present
ads:ad,commercials,advertising,advertisers,campaigns,campaign,posters,websites,promotional,promotions
top:tops,highest,fifth,ranking,sixth,bottom,seventh,atop
flavor:taste,ingredients,blend,recipe,recipes,sweet,dish,menu,color,mix
chip:chips,semiconductor,processors,processor,card,embedded,memory,handset
observers:analysts,experts,critics,officials,diplomats,economists,leaders,activists
committee:committees,commission,panel,council,board,unanimously
videos:video,photos,footage,pictures,images,clip,websites,photographs
junior:sophomore,freshman,senior,varsity,freshmen,standout
worrying:worried,worry,concerned,talking,disturbing,thinking,complaining,worries,anxious,scared
anywhere:somewhere,nowhere,wherever,anything,anybody,everywhere,anymore,never,just,anyone
ambassador:diplomat,embassy,diplomatic,diplomats,minister
consideration:account,evaluation,consider,considered,review,effect,evaluating,discussion,determining,context
hits:runs,strikeouts,batters,hit,innings,walks,batter,inning
caps:cap,capped,hat,shirts,jersey,limits,shirt,uniform,bans,suits
reflection:reflected,reflect,reflects,reflecting,evident,mirror,reminder,indicator,profound,demonstrates
permitted:allowed,prohibited,required,authorized,restricted,allow,designated,permit,exempt,specified
longest:oldest,largest,consecutive,long,worst,biggest,fastest,toughest,history,strongest
board:directors,trustees,boards,committee,council,commissioners,commission,supervisors
mouse:mice,cat,computer,interface,button,desktop,click,screen,gene,genes
ones:those,bunch,these,they,are,them,tend,handful
securities:derivatives,equities,equity,mortgage,investors,mortgages,bonds,assets,investments
wicket:wickets,overs,bowling,innings,batting,cricket,bat,balls
benefits:benefit,advantages,savings,rewards,incentives,costs,pensions,retirees,protections,payments
mainland:island,islands,overseas
firmly:strongly,fully,clearly,forefront,insisting,right,remain,forever,keeping,principle
organic:dairy,sustainable,foods,ingredients,sustainability,chemicals,agricultural,milk,products,food
multiple:numerous,various,several,variety,countless,both,three,dozens
missions:mission,tasks,planes,operations,helicopters,combat,aircraft,flights
here:we,just,really,going,there,think,know,this,everybody
twelve:ten,twenty,six,five,nine,three,eight,four,seven,two
structured:oriented,regulated,flexible,defined,designed,organized,arranged,customized,disciplined,financed
structures:structure,buildings,structural,houses,building,properties,bridges,processes,towers,institutions
wire:electrical,cable,pipe,pole,pipes,fence,fiber,plastic,metal,lengths
favorable:positive,negative,strong,adverse,improved,optimistic,stable,weaker,attractive,good
trustees:board,administrators,directors,commissioners,council,faculty,supervisors,superintendent
minute:minutes,seconds,hour,hours,moments,half,day,halftime
charities:charity,organizations,donations,fundraising,nonprofit,organization,donors,donate,donation
affiliate:affiliates,affiliated,subsidiary,organization,network,entity,subsidiaries
stimulate:spur,encourage,promote,revive,boost,accelerate,enhance,boosting,facilitate,stabilize
components:component,elements,parts,systems,materials,products,devices,manufacturers,segments,technologies
batting:bat,bowling,wickets,wicket,bats,innings,pitchers,homers,shortstop,overs
qualified:qualify,qualifying,skilled,trained,eligible,competed,certified,talented,motivated,prospective
reforms:reform,policies,overhaul,measures,legislation,initiatives,amendments,proposals,changes,repeal
source:sources,contributor,cause,reason,official,supplier,spokesperson,derived
qualifier:qualifying,quarterfinals,semifinals,semifinal,finals,tournament
million:billion,percent
field:fields,turf,sideline,pitch,track,ground,team,ball,yard
content:websites,programming,videos,apps,advertisers,publishers,web,portal,multimedia
prospects:prospect,outlook,future,chances,potential,opportunities,prospective,possibilities,optimistic,competitiveness
cocaine:heroin,marijuana,drugs,drug,alcohol,steroids,substance,explosives,smuggling
friend:friends,cousin,girlfriend,colleague,uncle,boyfriend,brother,neighbor,father,wife
fan:fans,supporter,player,faithful,crowd,followers,kid,star,crowds
globe:world,worldwide,continent,globally,country,global,planet
sealed:seal,secured,blocked,closed,wrapped,locked,clinched,secure,tipped,cleared
newly:recently,new,subsequently,being,previously,officially,already,be,originally
far:much,farther,so,well,yet,just,none,many,than,even
job:jobs,work,employment,salary,hiring,position,duties,positions,unemployed,assignment
shelves:shelf,stores,store,shops,books,boxes,supermarket,toys,retailers,inventory
fax:email,mail,telephone,emails,phone
location:locations,located,site,destination,locate,venue,area,facility,route,downtown
walls:wall,windows,roof,floors,ceiling,brick,fence,concrete,buildings,glass
old:boy,daughter,son,girl,olds,grandson,teenage,grandmother,youngest,teenager
naturally:natural,generally,normally,always,usually,often,actually,obviously,sometimes,so
dish:dishes,cook,meal,recipe,cooked,recipes,cooking,menu,chef,kitchen
kilometer:km,kilometers,mile,meters,miles,meter,marathon,distance,m
identity:identification,name,passport,origin,heritage,citizenship,names,credentials,privacy
direction:directions,toward,path,towards,wrong,helm,leadership,forward,way,right
borders:border,boundaries,territories,territory,sovereignty,ports,homeland,crossing,neighboring,refugees
fourth:third,second,fifth,sixth,seventh,eighth,ninth,first
phones:phone,handset,smartphone,mobile,laptops,devices
processing:processed,processor,processors,processes,automated,automation,imaging,distribution,printing,production
belonging:belonged,belong,seized,belongs,stolen,owned,stole,stealing,raided,deceased
musicians:artists,musician,bands,music,performers,jazz,band,dancers,actors,musical
alternative:alternatives,viable,alternate,option,cheaper,acceptable,innovative,options,conventional,affordable
bullish:optimistic,positive,upside,upbeat,cautious,stocks,negative,fundamentals,outlook,equities
legally:illegally,legal,technically,illegal,law,valid,permit,properly,laws,permitted
blood:oxygen,breath,tissue,fluid,bleeding,alcohol,donor,water,heart,donors
assassination:killings,murder,murders,bombing,bombings,slaying,shootings,kidnapping,murdered
collection:collections,collecting,catalog,collected,collect,vintage,artwork,archive,library,exhibit
actress:actor,singer,actors,lady,girl,woman,musician,she,star,her
performer:performers,performances,performing,player,musician,performance,standout,athlete,singer,star
millions:tens,thousands,billions,hundreds,dollars,countless,dozens,million
filling:fill,filled,lining,replacing,empty,leaving,lined,putting,picking,stepping
gym:workout,fitness,classroom,school,volleyball,classrooms,boxing,wrestling,basketball
fields:field,areas,crops,grass,wells,facilities,sectors,landscape,turf
hotel:hotels,resort,restaurant,apartment,casino,airport
twist:element,spin,tale,bizarre,mix,aspect,angle,interesting,something,weird
reputation:credibility,image,credentials,integrity,perception,relationships,renowned,respected,popularity,legacy
dog:dogs,cat,pet,cats,pets,animal,animals,horse,bird
property:properties,land,residential,acre,homes,apartments,estate,buildings
words:phrase,word,quote,lyrics,remarks,language,letters,rhetoric,statements,moments
licensed:certified,license,licensing,licenses,registered,regulated,operated,certification,affiliated,permitted
sick:ill,tired,illness,dying,mad,infected,angry,flu,scared,hospitalized
slots:slot,casinos,spots,casino,seats,gaming,gambling,positions,spot
presented:presenting,present,submitted,presentation,presents,provided,reviewed,accepted,unveiled,awarded
ministers:minister,ministry,cabinet,diplomats,chiefs
feeds:feed,feeding,fed,streams,via,updates,streaming,stream,channels,hungry
visual:graphics,subtle,artistic,images,creative,functional,design,multimedia,interactive
tourism:tourist,tourists,agriculture,hospitality,leisure,hotels,economic,economy
poorly:badly,properly,well,adequately,correctly,similarly,poor,differently,heavily,perfectly
substance:drugs,chemicals,cocaine,alcohol,steroids,ingredients,heroin,drug,chemical,liquid
patch:fix,update,layer,holes,exploit,turf,fields,root,console,tear
booked:booking,charged,arrested,canceled,charge,arranged,suspicion,reservations,reserved,transported
trainer:trained,horse,instructor,training,horses,workout,rider,coach,fitness
results:findings,earnings,outcome,outcomes,quarterly,quarter,performance,profits,figures
deposits:deposit,bank,banks,loans,assets,accounts,reserves,investments,branches,banking
hospitality:hotels,leisure,beverage,tourism,hotel,accommodation,dining,entertainment,guests
